Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),21.21,0.00,148532.77,,,,,,19.15,,20.65,20.81,21.06,249.81
Active Decode Throughput Per User (tokens/sec/user),21.21,0.00,148532.77,,,,,,19.15,,20.65,20.81,21.06,249.81
Active Prefill Throughput (tokens/sec),587.98,579.23,620.85,,,,,,580.65,,620.85,620.85,620.85,15.92
Active Prefill Throughput Per User (tokens/sec/user),587.98,579.23,620.85,,,,,,580.65,,620.85,620.85,620.85,15.92
Active Total Throughput (tokens/sec),40.96,20.73,620.85,,,,,,21.23,,21.54,21.54,582.03,103.99
Credit-to-Start Latency (ms),3.73,0.97,12.83,18.64,1.00,1.10,1.22,1.59,1.61,1.64,8.35,10.59,12.38,4.56
Decode Duration (ms),47076.95,46368.31,48190.39,235384.73,46374.05,46397.00,46425.70,46511.78,47053.40,47260.85,47818.58,48004.48,48153.21,647.41
E2E Output Token Throughput (tokens/sec/user),20.50,20.04,20.79,102.50,20.05,20.11,20.19,20.41,20.50,20.76,20.78,20.79,20.79,0.27
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.01
Effective Decode Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.18
Effective Decode Throughput (tokens/sec),20.47,0.00,148532.77,,,,,,19.10,,20.64,20.80,21.04,245.43
Effective Decode Throughput Per User (tokens/sec/user),20.47,0.00,148532.77,,,,,,19.10,,20.64,20.80,21.04,245.43
Effective Latency (CO-aware) (ms),48799.87,48096.47,49914.19,243999.34,48101.23,48120.27,48144.07,48215.49,48784.43,48988.77,49544.02,49729.10,49877.17,650.22
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),20.49,0.00,620.85,,,,,,0.00,,0.00,0.00,582.03,107.88
Effective Prefill Throughput Per User (tokens/sec/user),20.49,0.00,620.85,,,,,,0.00,,0.00,0.00,582.03,107.88
Effective Total Throughput (tokens/sec),40.96,0.00,620.85,,,,,,21.23,,21.54,21.54,582.03,103.99
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,469.20,435.00,490.00,2346.00,436.20,441.00,447.00,465.00,468.00,488.00,489.20,489.60,489.92,19.87
HTTP Chunks Sent,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.49,0.33,0.99,2.45,0.33,0.34,0.34,0.36,0.38,0.40,0.75,0.87,0.97,0.25
HTTP Connection Overhead (ms),0.49,0.33,0.99,2.45,0.33,0.34,0.34,0.36,0.38,0.40,0.75,0.87,0.97,0.25
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),229.14,215.88,235.49,1145.71,216.35,218.24,220.61,227.70,232.60,234.05,234.91,235.20,235.43,7.13
HTTP Data Sent (KB),4.59,4.48,4.65,22.97,4.48,4.50,4.52,4.59,4.60,4.65,4.65,4.65,4.65,0.06
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),48796.08,48094.78,49912.54,243980.39,48099.56,48118.70,48142.62,48214.38,48771.56,48987.12,49542.38,49727.46,49875.53,650.20
HTTP Receiving (ms),47095.44,46368.42,48190.41,235477.18,46377.84,46415.51,46462.61,46603.91,47053.50,47260.95,47818.62,48004.52,48153.23,632.18
HTTP Sending (ms),0.63,0.44,1.23,3.13,0.44,0.45,0.45,0.46,0.48,0.52,0.95,1.09,1.20,0.30
HTTP Total Time (ms),48796.57,48095.16,49912.88,243982.84,48099.97,48119.20,48143.24,48215.37,48771.96,48987.48,49542.72,49727.80,49875.86,650.07
HTTP Waiting (TTFB) (ms),1700.02,1609.24,1725.89,8500.08,1613.57,1630.90,1652.56,1717.54,1721.70,1725.72,1725.82,1725.85,1725.88,45.49
Input Sequence Length (tokens),1000.00,1000.00,1000.00,5000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0.00
Inter Chunk Latency (ms),48.43,0.00,334.26,235384.73,0.00,0.00,0.00,0.00,0.00,111.06,112.47,113.31,115.28,56.03
Inter Token Latency (ms),47.13,46.41,48.24,235.67,46.42,46.45,46.49,46.60,47.10,47.31,47.87,48.05,48.20,0.64
OSL Mismatch Diff % (%),-0.02,-0.10,0.00,-0.10,-0.10,-0.08,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Output Sequence Length (tokens),999.80,999.00,1000.00,4999.00,999.04,999.20,999.40,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0.40
Output Token Count (tokens),999.80,999.00,1000.00,4999.00,999.04,999.20,999.40,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0.40
Output Token Throughput Per User (tokens/sec/user),21.22,20.73,21.54,106.10,20.75,20.81,20.89,21.14,21.23,21.46,21.51,21.53,21.54,0.29
Prefill Throughput Per User (tokens/sec/user),588.41,579.23,620.85,2942.06,579.23,579.24,579.25,579.30,580.65,582.03,605.32,613.09,619.30,16.25
Request Latency (ms),48777.68,48094.75,49912.60,243888.42,48095.86,48100.29,48105.84,48122.47,48771.52,48987.08,49542.39,49727.49,49875.57,667.47
Time to First Output Token (ms),1700.74,1610.69,1726.44,8503.69,1614.98,1632.17,1653.66,1718.13,1722.20,1726.23,1726.36,1726.40,1726.43,45.13
Time to First Token (ms),1700.74,1610.69,1726.44,8503.69,1614.98,1632.17,1653.66,1718.13,1722.20,1726.23,1726.36,1726.40,1726.43,45.13
Time to Second Token (ms),115.59,113.54,116.87,577.95,113.57,113.72,113.91,114.46,116.23,116.85,116.86,116.86,116.87,1.35
Tokens In Flight (tokens),1493.69,0.00,2000.00,,,,,,1495.09,,1911.06,1958.00,1991.00,302.81

Metric,Value
Benchmark Duration (sec),244.01
Input Token Throughput (tokens/sec),20.49
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),20.49
Request Count,5.00
Request Throughput (requests/sec),0.02
Total Input Sequence Length (tokens),5000.00
Total Output Sequence Length (tokens),4999.00
Total Output Tokens (tokens),4999.00
Total Token Throughput (tokens/sec),40.98


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
