Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),25.65,0.00,62.21,,,,,,26.04,,30.74,30.91,31.09,2.74
Active Decode Throughput Per User (tokens/sec/user),25.65,0.00,62.21,,,,,,26.04,,30.74,30.91,31.09,2.74
Active Prefill Throughput (tokens/sec),822.37,752.76,908.08,,,,,,817.38,,908.08,908.08,908.08,49.28
Active Prefill Throughput Per User (tokens/sec/user),822.37,752.76,908.08,,,,,,817.38,,908.08,908.08,908.08,49.28
Active Total Throughput (tokens/sec),49.80,22.80,908.08,,,,,,26.21,,30.78,30.78,833.34,136.89
Credit-to-Start Latency (ms),3.75,2.16,6.86,18.77,2.18,2.25,2.34,2.62,2.84,4.29,5.83,6.35,6.76,1.71
Decode Duration (ms),19449.85,16209.88,21842.29,97249.26,16316.85,16744.76,17279.64,18884.27,19040.14,21272.68,21614.45,21728.37,21819.51,2001.58
E2E Output Token Throughput (tokens/sec/user),25.19,22.22,29.74,125.93,22.24,22.34,22.45,22.79,25.44,25.73,28.14,28.94,29.58,2.67
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.97,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.17
Effective Decode Throughput (tokens/sec),24.86,0.00,62.21,,,,,,26.00,,30.71,30.91,31.09,5.17
Effective Decode Throughput Per User (tokens/sec/user),24.86,0.00,62.21,,,,,,26.00,,30.71,30.91,31.09,5.17
Effective Latency (CO-aware) (ms),20061.61,16816.74,22460.05,100308.04,16921.55,17340.80,17864.86,19437.05,19654.69,21939.51,22251.83,22355.94,22439.23,2018.11
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.17
Effective Prefill Throughput (tokens/sec),24.92,0.00,908.08,,,,,,0.00,,0.00,0.00,833.34,141.23
Effective Prefill Throughput Per User (tokens/sec/user),24.92,0.00,908.08,,,,,,0.00,,0.00,0.00,833.34,141.23
Effective Total Throughput (tokens/sec),49.78,0.00,908.08,,,,,,26.21,,30.78,30.78,833.34,136.87
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,159.40,133.00,179.00,797.00,133.88,137.40,141.80,155.00,156.00,174.00,177.00,178.00,178.80,16.28
HTTP Chunks Sent,1.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.21,0.00,1.07,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.85,1.02,0.43
HTTP Connection Overhead (ms),0.21,0.00,1.07,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.85,1.02,0.43
HTTP Connection Reused (ratio),0.80,0.00,1.00,4.00,0.04,0.20,0.40,1.00,1.00,1.00,1.00,1.00,1.00,0.40
HTTP Data Received (KB),39.74,33.59,44.46,198.70,33.79,34.61,35.63,38.69,38.89,43.07,43.90,44.18,44.40,3.82
HTTP Data Sent (KB),744.58,744.29,745.00,3722.92,744.30,744.33,744.36,744.47,744.50,744.67,744.86,744.93,744.98,0.24
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),20057.70,16809.71,22455.61,100288.50,16914.71,17334.71,17859.72,19434.73,19651.70,21936.75,22248.07,22351.84,22434.86,2019.07
HTTP Receiving (ms),19449.85,16209.87,21842.29,97249.25,16316.84,16744.75,17279.64,18884.30,19040.13,21272.66,21614.44,21728.36,21819.51,2001.58
HTTP Sending (ms),0.58,0.31,1.33,2.92,0.31,0.32,0.32,0.34,0.43,0.51,1.00,1.16,1.29,0.38
HTTP Total Time (ms),20057.91,16809.71,22455.61,100289.57,16914.75,17334.93,17860.14,19435.80,19651.70,21936.75,22248.07,22351.84,22434.86,2019.00
